telemetry_id,asset_id,reading_ts,power_output_kw,temperature_c,vibration_mm_s,frequency_hz,status_code
AT0000009807,AST000007,2026-05-13 14:00:00,361.412,39.175,1.519,59.9474,TRIP
AT0000009808,AST000007,2026-05-13 15:00:00,448.559,41.292,1.418,60.0605,TRIP
AT0000009809,AST000007,2026-05-13 16:00:00,320.664,30.869,0.728,59.9834,NORMAL
AT0000009810,AST000007,2026-05-13 17:00:00,339.332,51.903,1.007,60.0048,NORMAL
AT0000009811,AST000007,2026-05-13 18:00:00,410.203,39.363,1.458,60.0263,NORMAL
AT0000009812,AST000007,2026-05-13 19:00:00,94.240,32.711,1.393,60.0622,NORMAL
AT0000009813,AST000007,2026-05-13 20:00:00,0.000,55.148,1.154,60.0079,NORMAL
AT0000009814,AST000007,2026-05-13 21:00:00,0.000,51.068,1.170,59.9676,NORMAL
AT0000009815,AST000007,2026-05-13 22:00:00,71.637,42.665,1.497,59.9227,normal 
AT0000009816,AST000007,2026-05-13 23:00:00,97.486,33.574,2.001,60.0327,NORMAL
AT0000009817,AST000007,2026-05-14 00:00:00,0.000,48.387,1.021,60.0002,NORMAL
AT0000009818,AST000007,2026-05-14 01:00:00,235.566,37.382,0.888,59.9370,NORMAL
AT0000009819,AST000007,2026-05-14 02:00:00,65.456,46.855,1.292,59.9535,WARNING
AT0000009820,AST000007,2026-05-14 03:00:00,101.219,47.135,1.456,60.0463,WARNING
AT0000009821,AST000007,2026-05-14 04:00:00,78.252,41.510,1.099,60.0179,normal 
AT0000009822,AST000007,2026-05-14 05:00:00,0.000,51.724,0.738,60.0338,WARNING
AT0000009823,AST000007,2026-05-14 06:00:00,239.257,49.514,1.306,60.0045,NORMAL
AT0000009824,AST000007,2026-05-14 07:00:00,23.004,39.395,1.167,59.9275,NORMAL
AT0000009825,AST000007,2026-05-14 08:00:00,335.051,51.859,0.437,59.8772,NORMAL
AT0000009826,AST000007,2026-05-14 09:00:00,346.828,44.020,0.965,60.0844,normal 
AT0000009827,AST000007,2026-05-14 10:00:00,289.320,48.070,0.862,59.9886,WARNING
AT0000009828,AST000007,2026-05-14 11:00:00,439.644,49.639,1.573,60.0004,WARNING
AT0000009829,AST000007,2026-05-14 12:00:00,386.350,42.193,1.045,59.9536,NORMAL
AT0000009830,AST000007,2026-05-14 13:00:00,404.223,42.044,0.870,59.9658,normal 
AT0000009831,AST000007,2026-05-14 14:00:00,486.033,35.631,0.408,59.9272,normal 
AT0000009832,AST000007,2026-05-14 15:00:00,528.260,40.006,0.958,59.9995,NORMAL
AT0000009833,AST000007,2026-05-14 16:00:00,333.358,31.745,0.494,59.9690,TRIP
AT0000009834,AST000007,2026-05-14 17:00:00,477.522,32.784,1.735,60.0068,WARNING
AT0000009835,AST000007,2026-05-14 18:00:00,378.919,32.762,1.113,59.9898,NORMAL
AT0000009836,AST000007,2026-05-14 19:00:00,0.000,27.695,0.920,59.9909,NORMAL
AT0000009837,AST000007,2026-05-14 20:00:00,22.735,50.613,0.919,60.0366,NORMAL
AT0000009838,AST000007,2026-05-14 21:00:00,0.000,36.202,0.833,60.0336,NORMAL
AT0000009839,AST000007,2026-05-14 22:00:00,59.534,41.407,0.827,59.9802,NORMAL
AT0000009840,AST000007,2026-05-14 23:00:00,0.000,46.789,1.273,59.9882,NORMAL
AT0000009841,AST000007,2026-05-15 00:00:00,0.000,27.095,1.131,60.0673,normal 
AT0000009842,AST000007,2026-05-15 01:00:00,0.000,30.278,0.957,60.0160,NORMAL
AT0000009843,AST000007,2026-05-15 02:00:00,0.000,37.910,1.854,59.9742,NORMAL
AT0000009844,AST000007,2026-05-15 03:00:00,0.000,46.996,1.738,59.9584,normal 
AT0000009845,AST000007,2026-05-15 04:00:00,59.806,43.870,1.908,60.0030,WARNING
AT0000009846,AST000007,2026-05-15 05:00:00,6.777,42.382,1.286,60.1743,TRIP
AT0000009847,AST000007,2026-05-15 06:00:00,0.000,57.960,1.272,59.9637,NORMAL
AT0000009848,AST000007,2026-05-15 07:00:00,291.448,41.485,1.343,60.0410,TRIP
AT0000009849,AST000007,2026-05-15 08:00:00,417.391,51.772,1.730,59.9823,NORMAL
AT0000009850,AST000007,2026-05-15 09:00:00,430.450,49.430,1.573,59.9719,TRIP
AT0000009851,AST000007,2026-05-15 10:00:00,366.477,21.764,1.049,59.9577,WARNING
AT0000009852,AST000007,2026-05-15 11:00:00,287.527,32.669,0.975,59.9662,normal 
AT0000009853,AST000007,2026-05-15 12:00:00,459.937,38.180,0.959,60.0901,NORMAL
AT0000009854,AST000007,2026-05-15 13:00:00,273.313,39.649,1.003,59.9984,NORMAL
AT0000009855,AST000007,2026-05-15 14:00:00,431.974,40.364,0.777,59.9850,normal 
AT0000009856,AST000007,2026-05-15 15:00:00,388.927,54.576,1.144,59.9837,WARNING
AT0000009857,AST000007,2026-05-15 16:00:00,412.464,30.611,1.115,60.0585,normal 
AT0000009858,AST000007,2026-05-15 17:00:00,326.076,34.103,0.945,59.8874,NORMAL
AT0000009859,AST000007,2026-05-15 18:00:00,444.558,41.566,1.513,60.0660,NORMAL
AT0000009860,AST000007,2026-05-15 19:00:00,0.000,27.571,1.580,59.9804,TRIP
AT0000009861,AST000007,2026-05-15 20:00:00,0.000,45.535,0.816,60.0060,NORMAL
AT0000009862,AST000007,2026-05-15 21:00:00,55.437,54.547,1.267,59.9520,NORMAL
AT0000009863,AST000007,2026-05-15 22:00:00,56.416,42.238,1.182,60.0139,normal 
AT0000009864,AST000007,2026-05-15 23:00:00,0.000,37.357,1.099,59.9712,WARNING
AT0000009865,AST000007,2026-05-16 00:00:00,45.697,36.413,1.118,59.9527,NORMAL
AT0000009866,AST000007,2026-05-16 01:00:00,99.286,44.651,1.620,59.9822,normal 
AT0000009867,AST000007,2026-05-16 02:00:00,0.000,40.779,2.022,59.9157,normal 
AT0000009868,AST000007,2026-05-16 03:00:00,0.000,42.554,0.420,59.9133,normal 
AT0000009869,AST000007,2026-05-16 04:00:00,8.281,45.879,1.185,60.0035,TRIP
AT0000009870,AST000007,2026-05-16 05:00:00,140.433,48.948,1.473,59.8704,NORMAL
AT0000009871,AST000007,2026-05-16 06:00:00,52.147,32.352,1.818,60.1566,normal 
AT0000009872,AST000007,2026-05-16 07:00:00,308.917,34.761,1.530,60.0624,NORMAL
AT0000009873,AST000007,2026-05-16 08:00:00,343.301,37.818,1.427,60.0065,NORMAL
AT0000009874,AST000007,2026-05-16 09:00:00,460.345,40.910,1.283,59.9993,normal 
AT0000009875,AST000007,2026-05-16 10:00:00,252.199,27.049,1.179,59.8773,NORMAL
AT0000009876,AST000007,2026-05-16 11:00:00,478.263,40.877,1.446,59.9800,NORMAL
AT0000009877,AST000007,2026-05-16 12:00:00,366.829,50.925,0.846,59.9605,WARNING
AT0000009878,AST000007,2026-05-16 13:00:00,311.143,43.789,1.007,60.0547,NORMAL
AT0000009879,AST000007,2026-05-16 14:00:00,351.304,38.345,0.730,60.0371,NORMAL
AT0000009880,AST000007,2026-05-16 15:00:00,379.681,47.912,1.158,60.0419,WARNING
AT0000009881,AST000007,2026-05-16 16:00:00,302.807,37.234,1.086,60.0535,normal 
AT0000009882,AST000007,2026-05-16 17:00:00,321.574,33.619,1.125,59.9410,normal 
AT0000009883,AST000007,2026-05-16 18:00:00,362.442,36.247,1.264,59.9531,NORMAL
AT0000009884,AST000007,2026-05-16 19:00:00,57.735,54.265,1.376,60.0291,normal 
AT0000009885,AST000007,2026-05-16 20:00:00,64.367,29.859,1.328,60.0630,NORMAL
AT0000009886,AST000007,2026-05-16 21:00:00,51.830,25.550,2.061,60.0851,NORMAL
AT0000009887,AST000007,2026-05-16 22:00:00,61.341,32.588,0.808,59.9655,WARNING
AT0000009888,AST000007,2026-05-16 23:00:00,0.000,46.403,0.308,60.0650,WARNING
AT0000009889,AST000007,2026-05-17 00:00:00,0.000,36.209,1.182,59.9115,normal 
AT0000009890,AST000007,2026-05-17 01:00:00,68.755,40.886,1.132,59.9815,WARNING
AT0000009891,AST000007,2026-05-17 02:00:00,0.552,28.934,1.222,60.0662,NORMAL
AT0000009892,AST000007,2026-05-17 03:00:00,156.761,45.148,0.945,59.8842,NORMAL
AT0000009893,AST000007,2026-05-17 04:00:00,0.000,42.043,0.869,59.9938,NORMAL
AT0000009894,AST000007,2026-05-17 05:00:00,34.898,32.784,1.046,59.9720,normal 
AT0000009895,AST000007,2026-05-17 06:00:00,28.253,38.088,1.370,60.0029,normal 
AT0000009896,AST000007,2026-05-17 07:00:00,232.777,38.373,1.159,60.0363,NORMAL
AT0000009897,AST000007,2026-05-17 08:00:00,310.211,32.945,1.814,59.8822,NORMAL
AT0000009898,AST000007,2026-05-17 09:00:00,529.683,29.048,0.860,60.0802,NORMAL
AT0000009899,AST000007,2026-05-17 10:00:00,434.547,47.095,0.943,60.0323,TRIP
AT0000009900,AST000007,2026-05-17 11:00:00,289.598,32.892,1.361,60.0605,NORMAL
AT0000009901,AST000007,2026-05-17 12:00:00,329.609,46.054,1.028,60.0273,TRIP
AT0000009902,AST000007,2026-05-17 13:00:00,479.721,25.416,1.440,60.0379,NORMAL
AT0000009903,AST000007,2026-05-17 14:00:00,490.894,33.420,0.661,59.9812,normal 
AT0000009904,AST000007,2026-05-17 15:00:00,397.629,17.055,1.762,59.9968,WARNING
AT0000009905,AST000007,2026-05-17 16:00:00,362.741,42.573,1.454,60.0698,NORMAL
AT0000009906,AST000007,2026-05-17 17:00:00,441.258,49.009,1.440,60.0410,NORMAL
AT0000009907,AST000007,2026-05-17 18:00:00,106.393,46.856,1.333,60.0263,WARNING
AT0000009908,AST000007,2026-05-17 19:00:00,14.823,34.723,0.949,60.0207,normal 
AT0000009909,AST000007,2026-05-17 20:00:00,101.006,49.160,0.741,59.9711,NORMAL
AT0000009910,AST000007,2026-05-17 21:00:00,0.000,32.260,1.325,59.9367,NORMAL
AT0000009911,AST000007,2026-05-17 22:00:00,72.237,42.574,0.686,59.9566,normal 
AT0000009912,AST000007,2026-05-17 23:00:00,0.000,32.833,1.114,59.9328,WARNING
AT0000009913,AST000007,2026-05-18 00:00:00,3.590,47.381,0.830,59.9708,NORMAL
AT0000009914,AST000007,2026-05-18 01:00:00,0.000,37.529,1.323,60.0277,NORMAL
AT0000009915,AST000007,2026-05-18 02:00:00,0.000,45.818,0.836,59.9777,NORMAL
AT0000009916,AST000007,2026-05-18 03:00:00,2.814,64.794,1.328,60.0431,WARNING
AT0000009917,AST000007,2026-05-18 04:00:00,0.000,35.126,0.920,59.9809,WARNING
AT0000009918,AST000007,2026-05-18 05:00:00,88.751,38.683,1.361,60.0931,TRIP
AT0000009919,AST000007,2026-05-18 06:00:00,0.000,52.055,1.156,60.0816,normal 
AT0000009920,AST000007,2026-05-18 07:00:00,459.879,27.068,1.309,59.8768,normal 
AT0000009921,AST000007,2026-05-18 08:00:00,226.664,55.184,0.512,59.9854,NORMAL
AT0000009922,AST000007,2026-05-18 09:00:00,307.827,38.495,0.834,59.9263,WARNING
AT0000009923,AST000007,2026-05-18 10:00:00,458.968,37.620,0.896,60.0110,NORMAL
AT0000009924,AST000007,2026-05-18 11:00:00,365.570,45.762,1.242,60.0020,NORMAL
AT0000009925,AST000007,2026-05-18 12:00:00,336.202,28.009,1.643,60.0185,NORMAL
AT0000009926,AST000007,2026-05-18 13:00:00,317.740,33.013,0.814,59.9354,NORMAL
AT0000009927,AST000007,2026-05-18 14:00:00,408.590,43.112,1.199,59.9410,NORMAL
AT0000009928,AST000007,2026-05-18 15:00:00,362.626,46.414,0.969,59.9135,normal 
AT0000009929,AST000007,2026-05-18 16:00:00,349.730,40.489,1.179,59.9646,WARNING
AT0000009930,AST000007,2026-05-18 17:00:00,434.137,42.570,0.854,59.9247,NORMAL
AT0000009931,AST000007,2026-05-18 18:00:00,250.539,38.978,1.366,59.9761,normal 
AT0000009932,AST000007,2026-05-18 19:00:00,10.400,22.527,1.485,60.0063,normal 
AT0000009933,AST000007,2026-05-18 20:00:00,126.305,31.336,1.143,60.0432,TRIP
AT0000009934,AST000007,2026-05-18 21:00:00,88.434,45.900,1.628,59.8887,WARNING
AT0000009935,AST000007,2026-05-18 22:00:00,50.730,39.508,1.056,59.9777,normal 
AT0000009936,AST000007,2026-05-18 23:00:00,0.000,25.320,1.086,59.9607,TRIP
AT0000009937,AST000007,2026-05-19 00:00:00,32.893,33.245,1.067,60.0517,TRIP
AT0000009938,AST000007,2026-05-19 01:00:00,53.251,43.400,1.331,60.0891,NORMAL
AT0000009939,AST000007,2026-05-19 02:00:00,0.000,43.386,1.264,60.0252,TRIP
AT0000009940,AST000007,2026-05-19 03:00:00,9.339,43.117,1.203,60.0136,WARNING
AT0000009941,AST000007,2026-05-19 04:00:00,49.493,41.916,1.525,59.9715,NORMAL
AT0000009942,AST000007,2026-05-19 05:00:00,0.000,47.653,1.441,60.0104,TRIP
AT0000009943,AST000007,2026-05-19 06:00:00,0.000,41.896,1.184,59.9972,NORMAL
AT0000009944,AST000007,2026-05-19 07:00:00,449.829,33.138,0.818,59.9743,WARNING
AT0000009945,AST000007,2026-05-19 08:00:00,329.749,33.317,1.274,60.1131,TRIP
AT0000009946,AST000007,2026-05-19 09:00:00,312.905,31.819,1.399,60.0072,TRIP
AT0000009947,AST000007,2026-05-19 10:00:00,222.012,38.861,0.814,60.0012,NORMAL
AT0000009948,AST000007,2026-05-19 11:00:00,306.052,33.874,0.967,59.9608,NORMAL
AT0000009949,AST000007,2026-05-19 12:00:00,249.895,32.217,0.783,59.9595,NORMAL
AT0000009950,AST000007,2026-05-19 13:00:00,372.888,42.056,1.506,59.9527,NORMAL
AT0000009951,AST000007,2026-05-19 14:00:00,321.847,48.423,0.503,59.9394,normal 
AT0000009952,AST000007,2026-05-19 15:00:00,618.480,46.934,1.108,60.0188,NORMAL
AT0000009953,AST000007,2026-05-19 16:00:00,286.348,41.123,1.175,60.0500,NORMAL
AT0000009954,AST000007,2026-05-19 17:00:00,401.963,50.765,1.065,59.9933,NORMAL
AT0000009955,AST000007,2026-05-19 18:00:00,306.852,34.833,1.113,59.9698,NORMAL
AT0000009956,AST000007,2026-05-19 19:00:00,7.669,30.201,0.844,60.0373,NORMAL
AT0000009957,AST000007,2026-05-19 20:00:00,0.000,49.300,1.656,60.0552,NORMAL
AT0000009958,AST000007,2026-05-19 21:00:00,179.961,37.520,0.589,60.0465,NORMAL
AT0000009959,AST000007,2026-05-19 22:00:00,0.000,49.320,1.089,59.9453,NORMAL
AT0000009960,AST000007,2026-05-19 23:00:00,0.000,38.269,1.351,60.0554,WARNING
AT0000009961,AST000007,2026-05-20 00:00:00,92.641,38.535,1.508,60.0088,NORMAL
AT0000009962,AST000007,2026-05-20 01:00:00,18.909,48.600,0.749,60.0997,WARNING
AT0000009963,AST000007,2026-05-20 02:00:00,0.000,53.552,1.146,59.9259,NORMAL
AT0000009964,AST000007,2026-05-20 03:00:00,21.718,42.504,1.211,60.0983,TRIP
AT0000009965,AST000007,2026-05-20 04:00:00,89.943,34.551,1.126,59.9150,NORMAL
AT0000009966,AST000007,2026-05-20 05:00:00,0.000,41.778,0.950,59.9766,normal 
AT0000009967,AST000007,2026-05-20 06:00:00,119.513,51.424,1.123,60.0182,NORMAL
AT0000009968,AST000007,2026-05-20 07:00:00,458.085,49.929,1.638,60.0435,normal 
AT0000009969,AST000007,2026-05-20 08:00:00,375.733,33.027,0.951,60.0278,normal 
AT0000009970,AST000007,2026-05-20 09:00:00,303.246,44.828,1.290,60.0777,NORMAL
AT0000009971,AST000007,2026-05-20 10:00:00,362.140,41.458,0.868,59.8986,TRIP
AT0000009972,AST000007,2026-05-20 11:00:00,279.874,36.469,1.255,59.9902,WARNING
AT0000009973,AST000007,2026-05-20 12:00:00,165.090,34.481,1.152,60.0224,TRIP
AT0000009974,AST000007,2026-05-20 13:00:00,369.037,45.814,1.454,59.9767,NORMAL
AT0000009975,AST000007,2026-05-20 14:00:00,254.496,44.331,1.004,59.9953,NORMAL
AT0000009976,AST000007,2026-05-20 15:00:00,324.410,29.968,1.116,60.0725,NORMAL
AT0000009977,AST000007,2026-05-20 16:00:00,344.138,49.336,1.138,59.9832,NORMAL
AT0000009978,AST000007,2026-05-20 17:00:00,263.349,47.888,0.899,60.0263,NORMAL
AT0000009979,AST000007,2026-05-20 18:00:00,404.551,41.045,0.724,60.0176,TRIP
AT0000009980,AST000007,2026-05-20 19:00:00,0.000,47.125,1.736,60.0304,WARNING
AT0000009981,AST000007,2026-05-20 20:00:00,85.470,38.360,1.025,60.0088,TRIP
AT0000009982,AST000007,2026-05-20 21:00:00,10.085,49.028,1.665,60.1474,NORMAL
AT0000009983,AST000007,2026-05-20 22:00:00,0.000,42.896,0.903,60.0668,NORMAL
AT0000009984,AST000007,2026-05-20 23:00:00,0.000,37.198,1.096,59.9809,WARNING
AT0000009985,AST000007,2026-05-21 00:00:00,13.919,42.989,1.147,59.9757,normal 
AT0000009986,AST000007,2026-05-21 01:00:00,102.188,42.464,1.261,60.0199,NORMAL
AT0000009987,AST000007,2026-05-21 02:00:00,9.308,38.498,0.819,60.1232,normal 
AT0000009988,AST000007,2026-05-21 03:00:00,71.096,53.611,1.504,59.9820,NORMAL
AT0000009989,AST000007,2026-05-21 04:00:00,89.126,45.398,0.786,60.0637,TRIP
AT0000009990,AST000007,2026-05-21 05:00:00,0.000,39.236,1.047,60.0406,NORMAL
AT0000009991,AST000007,2026-05-21 06:00:00,14.067,34.417,1.144,59.9662,NORMAL
AT0000009992,AST000007,2026-05-21 07:00:00,283.971,50.224,1.050,59.9909,TRIP
AT0000009993,AST000007,2026-05-21 08:00:00,288.382,55.062,1.324,59.9766,NORMAL
AT0000009994,AST000007,2026-05-21 09:00:00,384.057,38.413,0.925,60.0428,WARNING
AT0000009995,AST000007,2026-05-21 10:00:00,389.689,46.204,1.052,59.9867,WARNING
AT0000009996,AST000007,2026-05-21 11:00:00,134.216,51.041,1.086,59.9980,NORMAL
AT0000009997,AST000007,2026-05-21 12:00:00,406.259,51.583,1.505,59.9653,NORMAL
AT0000009998,AST000007,2026-05-21 13:00:00,483.252,48.928,0.687,60.0341,NORMAL
AT0000009999,AST000007,2026-05-21 14:00:00,324.166,34.749,1.360,60.0629,NORMAL
AT0000010000,AST000007,2026-05-21 15:00:00,124.659,40.432,1.132,60.0466,NORMAL
AT0000010001,AST000007,2026-05-21 16:00:00,349.729,43.849,1.047,59.9017,TRIP
AT0000010002,AST000007,2026-05-21 17:00:00,347.185,54.411,1.579,60.0812,TRIP
AT0000010003,AST000007,2026-05-21 18:00:00,281.552,38.037,0.896,59.9192,WARNING
AT0000010004,AST000007,2026-05-21 19:00:00,104.227,36.150,1.277,59.9471,NORMAL
AT0000010005,AST000007,2026-05-21 20:00:00,27.606,43.072,1.373,59.9901,normal 
AT0000010006,AST000007,2026-05-21 21:00:00,0.000,54.767,1.143,59.9316,TRIP
AT0000010007,AST000007,2026-05-21 22:00:00,62.436,41.508,1.717,59.9330,normal 
AT0000010008,AST000007,2026-05-21 23:00:00,0.000,55.853,1.179,60.0463,WARNING
AT0000010009,AST000007,2026-05-22 00:00:00,10.374,58.069,0.931,59.9749,TRIP
AT0000010010,AST000007,2026-05-22 01:00:00,53.796,45.857,1.784,60.0216,normal 
AT0000010011,AST000007,2026-05-22 02:00:00,53.146,51.907,1.423,60.0197,normal 
AT0000010012,AST000007,2026-05-22 03:00:00,0.000,42.966,1.829,60.0939,NORMAL
AT0000010013,AST000007,2026-05-22 04:00:00,81.944,32.546,1.024,59.8973,WARNING
AT0000010014,AST000007,2026-05-22 05:00:00,0.000,36.051,0.924,60.0364,WARNING
AT0000010015,AST000007,2026-05-22 06:00:00,112.982,46.101,1.365,60.0104,NORMAL
AT0000010016,AST000007,2026-05-22 07:00:00,250.920,50.477,0.645,59.9442,WARNING
AT0000010017,AST000007,2026-05-22 08:00:00,351.520,46.536,0.794,59.9162,WARNING
AT0000010018,AST000007,2026-05-22 09:00:00,244.652,44.875,0.894,59.9849,NORMAL
AT0000010019,AST000007,2026-05-22 10:00:00,447.974,28.234,1.659,59.9976,normal 
AT0000010020,AST000007,2026-05-22 11:00:00,426.684,48.844,1.006,60.0866,NORMAL
AT0000010021,AST000007,2026-05-22 12:00:00,401.056,38.281,0.681,59.9169,WARNING
AT0000010022,AST000007,2026-05-22 13:00:00,348.351,42.398,2.147,60.0449,NORMAL
AT0000010023,AST000007,2026-05-22 14:00:00,367.935,40.760,1.473,59.9627,normal 
AT0000010024,AST000007,2026-05-22 15:00:00,312.096,34.922,1.443,60.0518,normal 
AT0000010025,AST000007,2026-05-22 16:00:00,345.242,43.342,1.474,60.0546,NORMAL
AT0000010026,AST000007,2026-05-22 17:00:00,373.424,28.225,0.728,59.9321,NORMAL
AT0000010027,AST000007,2026-05-22 18:00:00,217.220,44.838,1.017,59.9891,TRIP
AT0000010028,AST000007,2026-05-22 19:00:00,66.877,53.019,1.767,59.9222,WARNING
AT0000010029,AST000007,2026-05-22 20:00:00,0.000,40.805,1.102,60.0332,NORMAL
AT0000010030,AST000007,2026-05-22 21:00:00,82.486,38.284,1.138,59.9056,TRIP
AT0000010031,AST000007,2026-05-22 22:00:00,0.000,50.773,1.645,59.9738,WARNING
AT0000010032,AST000007,2026-05-22 23:00:00,0.000,44.786,0.802,60.0493,normal 
AT0000010033,AST000007,2026-05-23 00:00:00,89.802,38.431,1.238,59.9698,TRIP
AT0000010034,AST000007,2026-05-23 01:00:00,0.000,37.919,1.089,60.0375,normal 
AT0000010035,AST000007,2026-05-23 02:00:00,39.537,33.878,1.129,60.0591,TRIP
AT0000010036,AST000007,2026-05-23 03:00:00,8.062,42.113,1.055,60.0745,NORMAL
AT0000010037,AST000007,2026-05-23 04:00:00,55.060,54.364,1.677,59.9796,WARNING
AT0000010038,AST000007,2026-05-23 05:00:00,0.000,34.986,1.187,60.0062,TRIP
AT0000010039,AST000007,2026-05-23 06:00:00,0.000,41.454,0.715,59.9985,NORMAL
AT0000010040,AST000007,2026-05-23 07:00:00,395.125,36.459,1.683,60.0069,TRIP
AT0000010041,AST000007,2026-05-23 08:00:00,318.543,44.827,1.210,60.0727,NORMAL
AT0000010042,AST000007,2026-05-23 09:00:00,233.647,43.175,1.126,59.9915,NORMAL
AT0000010043,AST000007,2026-05-23 10:00:00,240.461,35.530,1.026,59.9668,NORMAL
AT0000010044,AST000007,2026-05-23 11:00:00,343.459,40.032,1.693,60.0532,NORMAL
AT0000010045,AST000007,2026-05-23 12:00:00,263.456,40.732,1.263,59.9693,NORMAL
AT0000010046,AST000007,2026-05-23 13:00:00,197.425,38.728,1.040,59.9153,NORMAL
AT0000010047,AST000007,2026-05-23 14:00:00,341.031,42.094,1.600,59.9706,WARNING
AT0000010048,AST000007,2026-05-23 15:00:00,295.336,47.067,0.980,60.0444,NORMAL
AT0000010049,AST000007,2026-05-23 16:00:00,342.322,31.441,0.583,60.0608,WARNING
AT0000010050,AST000007,2026-05-23 17:00:00,378.007,35.920,1.363,59.9633,NORMAL
AT0000010051,AST000007,2026-05-23 18:00:00,455.086,40.129,1.280,60.0165,TRIP
AT0000010052,AST000007,2026-05-23 19:00:00,0.000,37.905,0.814,59.9717,normal 
AT0000010053,AST000007,2026-05-23 20:00:00,173.391,40.806,1.398,60.0225,WARNING
AT0000010054,AST000007,2026-05-23 21:00:00,20.177,55.530,1.075,59.9834,NORMAL
AT0000010055,AST000007,2026-05-23 22:00:00,39.866,50.342,0.957,59.9865,NORMAL
AT0000010056,AST000007,2026-05-23 23:00:00,290.794,36.199,1.228,59.8916,normal 
AT0000010057,AST000007,2026-05-24 00:00:00,0.000,44.688,1.252,60.0514,WARNING
AT0000010058,AST000007,2026-05-24 01:00:00,0.000,45.162,1.245,60.0151,NORMAL
AT0000010059,AST000007,2026-05-24 02:00:00,0.000,33.651,1.124,59.8956,WARNING
AT0000010060,AST000007,2026-05-24 03:00:00,67.764,34.444,1.050,60.1102,NORMAL
AT0000010061,AST000007,2026-05-24 04:00:00,66.843,33.101,1.511,59.9829,NORMAL
AT0000010062,AST000007,2026-05-24 05:00:00,163.408,57.448,1.462,59.9472,normal 
AT0000010063,AST000007,2026-05-24 06:00:00,66.433,43.972,1.487,59.9880,WARNING
AT0000010064,AST000007,2026-05-24 07:00:00,301.835,51.258,1.256,59.9947,NORMAL
AT0000010065,AST000007,2026-05-24 08:00:00,415.419,31.553,1.378,59.9583,TRIP
AT0000010066,AST000007,2026-05-24 09:00:00,414.990,47.977,1.270,59.9161,normal 
AT0000010067,AST000007,2026-05-24 10:00:00,366.496,29.701,0.886,59.9107,NORMAL
AT0000010068,AST000007,2026-05-24 11:00:00,311.562,47.114,1.257,59.9987,NORMAL
AT0000010069,AST000007,2026-05-24 12:00:00,428.612,50.877,1.446,60.0424,WARNING
AT0000010070,AST000007,2026-05-24 13:00:00,272.300,38.565,0.721,59.9992,normal 
AT0000010071,AST000007,2026-05-24 14:00:00,240.514,32.117,1.575,60.0945,NORMAL
AT0000010072,AST000007,2026-05-24 15:00:00,279.677,47.803,1.425,60.0017,NORMAL
AT0000010073,AST000007,2026-05-24 16:00:00,458.829,35.410,1.051,60.0160,NORMAL
AT0000010074,AST000007,2026-05-24 17:00:00,325.841,35.612,1.308,59.9744,NORMAL
AT0000010075,AST000007,2026-05-24 18:00:00,345.462,60.615,1.157,60.0711,NORMAL
AT0000010076,AST000007,2026-05-24 19:00:00,190.314,22.927,1.214,60.0637,WARNING
AT0000010077,AST000007,2026-05-24 20:00:00,0.000,34.307,1.591,60.0089,NORMAL
AT0000010078,AST000007,2026-05-24 21:00:00,41.830,33.634,0.938,60.0495,WARNING
AT0000010079,AST000007,2026-05-24 22:00:00,0.000,36.174,1.299,60.1058,TRIP
AT0000010080,AST000007,2026-05-24 23:00:00,0.000,44.143,1.031,59.9819,WARNING
AT0000010081,AST000007,2026-05-25 00:00:00,214.111,43.747,1.315,59.9635,NORMAL
AT0000010082,AST000007,2026-05-25 01:00:00,0.000,29.675,0.725,60.0595,NORMAL
AT0000010083,AST000007,2026-05-25 02:00:00,133.902,46.548,0.862,59.9759,NORMAL
AT0000010084,AST000007,2026-05-25 03:00:00,0.000,39.323,1.170,59.9826,NORMAL
AT0000010085,AST000007,2026-05-25 04:00:00,0.000,41.426,1.039,59.9413,WARNING
AT0000010086,AST000007,2026-05-25 05:00:00,0.000,41.409,1.103,59.9444,NORMAL
AT0000010087,AST000007,2026-05-25 06:00:00,0.000,48.960,1.579,60.0046,NORMAL
AT0000010088,AST000007,2026-05-25 07:00:00,322.338,28.315,1.175,59.9691,TRIP
AT0000010089,AST000007,2026-05-25 08:00:00,341.976,46.511,1.050,60.0638,NORMAL
AT0000010090,AST000007,2026-05-25 09:00:00,131.459,46.328,1.214,59.9306,TRIP
AT0000010091,AST000007,2026-05-25 10:00:00,309.269,51.054,1.330,59.9192,NORMAL
AT0000010092,AST000007,2026-05-25 11:00:00,337.569,36.870,1.189,60.0289,NORMAL
AT0000010093,AST000007,2026-05-25 12:00:00,261.237,29.079,1.229,59.9722,NORMAL
AT0000010094,AST000007,2026-05-25 13:00:00,403.909,51.659,0.893,60.0702,normal 
AT0000010095,AST000007,2026-05-25 14:00:00,273.992,35.135,1.319,59.9790,NORMAL
AT0000010096,AST000007,2026-05-25 15:00:00,350.002,41.844,1.284,60.0398,WARNING
AT0000010097,AST000007,2026-05-25 16:00:00,434.399,40.481,0.893,60.0072,NORMAL
AT0000010098,AST000007,2026-05-25 17:00:00,278.884,25.347,1.173,60.0864,TRIP
AT0000010099,AST000007,2026-05-25 18:00:00,248.833,39.826,1.037,60.0081,NORMAL
AT0000010100,AST000007,2026-05-25 19:00:00,30.994,50.067,1.330,59.9879,TRIP
