cell_id,site_id,technology,avg_users,avg_throughput_mbps,avg_prb_utilization_pct,avg_drop_call_rate_pct,avg_availability_pct,high_util_hours,high_drop_hours,actual_calls,actual_dropped_calls,data_gb,poor_qoe_sessions,actual_drop_rate
CELL000110,SITE00026,5G NR,180.4529569892473,412.15659677419353,56.885150537634416,1.2442684139784945,99.41576182795698,76,26,62,9,111.94867675781249,11,0.14516129032258066
CELL000199,SITE00047,5G NR,178.23924731182797,417.08562500000005,56.93225672043011,1.2583770161290322,99.14762513440861,76,26,66,18,88.0382998046875,7,0.2727272727272727
CELL000141,SITE00033,5G NR,176.94354838709677,424.45325134408597,57.1114005376344,1.2466538978494623,99.42434287634408,76,25,49,8,104.95914550781251,7,0.16326530612244897
CELL000210,SITE00049,4G LTE,178.05779569892474,430.6266008064516,57.753657258064514,1.2395025537634408,99.42972352150538,76,22,66,17,102.570296875,7,0.25757575757575757
CELL000136,SITE00032,4G LTE,183.5215053763441,426.0144690860215,58.8007123655914,1.2428942204301074,99.29372594086021,76,21,54,7,86.3131103515625,4,0.12962962962962962
CELL000016,SITE00004,4G LTE,180.6451612903226,416.9355510752688,57.723362903225805,1.2664939516129032,99.55119704301075,76,19,62,12,83.0411650390625,9,0.1935483870967742
CELL000050,SITE00011,4G LTE,180.82258064516128,423.50374462365596,57.459870967741935,1.2569783602150537,99.41053682795699,75,34,65,14,93.5162685546875,8,0.2153846153846154
CELL000025,SITE00006,5G NR,178.61962365591398,410.2238252688172,56.32102016129032,1.258534005376344,98.87499260752688,75,33,51,9,92.808130859375,8,0.17647058823529413
CELL000045,SITE00010,5G NR,173.61827956989248,406.83679301075273,58.274314516129024,1.249045564516129,99.28692190860214,75,31,50,10,97.0414755859375,10,0.2
CELL000003,SITE00001,4G LTE,180.72043010752688,429.34891263440863,56.74193548387097,1.2439716397849463,99.6858565860215,75,29,54,8,106.5406279296875,9,0.14814814814814814
CELL000031,SITE00007,4G LTE,180.6290322580645,412.3107674731183,57.638532258064515,1.2384591397849463,99.28436626344086,75,29,57,15,107.965986328125,13,0.2631578947368421
CELL000150,SITE00035,4G LTE,182.45564516129033,423.4161142473118,58.009401881720436,1.2246974462365592,98.75484556451613,75,26,61,14,121.5765576171875,2,0.22950819672131148
CELL000087,SITE00020,4G LTE,183.46370967741936,423.62926344086026,57.66254301075269,1.234809811827957,99.1365248655914,75,25,56,10,107.981185546875,5,0.17857142857142858
CELL000147,SITE00035,4G LTE,177.66935483870967,430.4052822580646,57.38613709677419,1.229521370967742,99.28704919354838,75,25,49,11,78.473298828125,6,0.22448979591836735
CELL000132,SITE00031,4G LTE,177.32123655913978,420.81147580645165,57.749219086021505,1.2498692204301074,99.42138870967742,75,22,55,11,96.553732421875,7,0.2
CELL000218,SITE00051,4G LTE,174.54435483870967,418.36172177419354,56.31891801075269,1.3139774193548388,99.01904798387098,75,20,53,13,98.8859716796875,7,0.24528301886792453
CELL000008,SITE00002,4G LTE,180.82930107526883,434.7458924731183,56.516651881720435,1.267120564516129,99.57004220430107,74,30,54,14,105.158431640625,12,0.25925925925925924
CELL000204,SITE00048,5G NR,179.7970430107527,422.05596505376343,58.45524327956989,1.212432930107527,99.41580255376343,74,27,48,8,100.8372373046875,6,0.16666666666666666
CELL000178,SITE00042,5G NR,179.05913978494624,427.06710349462367,56.40919623655914,1.2380540322580647,99.29508481182795,74,25,63,13,98.87419140624999,8,0.20634920634920634
CELL000014,SITE00003,4G LTE,176.90994623655914,413.5911505376344,56.12539919354838,1.2843317204301077,98.87430712365592,74,24,58,12,105.780005859375,9,0.20689655172413793
CELL000007,SITE00002,4G LTE,178.95967741935485,408.21311021505375,57.30727016129032,1.222812634408602,99.54913064516128,74,18,78,13,92.1141240234375,11,0.16666666666666666
CELL000036,SITE00008,4G LTE,179.99193548387098,428.16843279569895,57.10121505376343,1.2568068548387097,99.55428494623656,74,13,57,14,99.16668359375,4,0.24561403508771928
CELL000196,SITE00046,4G LTE,179.04301075268816,406.6876747311828,58.14202150537634,1.2359883064516128,99.42377943548387,73,29,50,13,132.038884765625,9,0.26
CELL000151,SITE00036,4G LTE,180.73387096774192,406.9661411290323,56.48111424731183,1.2255485215053763,99.41252043010753,73,26,52,12,106.7070576171875,3,0.23076923076923078
CELL000152,SITE00036,5G NR,174.77956989247312,419.8748373655914,56.579021505376346,1.307130241935484,99.68361545698924,73,26,52,11,129.1744873046875,8,0.21153846153846154
CELL000127,SITE00030,4G LTE,183.10752688172042,433.82482123655916,56.58245967741935,1.2422826612903226,99.27752903225806,73,25,67,15,95.50427734375,5,0.22388059701492538
CELL000202,SITE00048,4G LTE,182.88575268817203,418.85648118279573,57.45455376344086,1.2513522849462364,99.56151814516129,73,24,63,5,103.573326171875,9,0.07936507936507936
CELL000074,SITE00017,5G NR,177.73521505376345,428.6297715053763,57.01789516129032,1.2615052419354837,99.41599287634408,73,19,54,17,105.0826845703125,9,0.3148148148148148
CELL000119,SITE00028,4G LTE,183.35752688172042,418.91968817204304,57.29819892473118,1.350967741935484,98.7438252688172,72,39,56,13,105.3564052734375,4,0.23214285714285715
CELL000195,SITE00046,4G LTE,180.4516129032258,420.39531989247314,55.59523521505377,1.2612657258064517,99.56541935483872,72,30,46,8,115.3501162109375,3,0.17391304347826086
CELL000186,SITE00044,5G NR,179.28629032258064,414.5420739247312,57.57839784946237,1.2554510752688173,99.41012110215053,72,29,59,11,115.89435546875,12,0.1864406779661017
CELL000198,SITE00047,5G NR,184.9744623655914,425.6257661290323,56.88752284946237,1.265990322580645,99.2833565860215,72,27,57,9,101.0895126953125,7,0.15789473684210525
CELL000194,SITE00046,5G NR,179.9731182795699,416.3493306451613,57.429438172043014,1.2390521505376344,99.01691169354838,72,25,68,12,128.2202119140625,8,0.17647058823529413
CELL000058,SITE00013,5G NR,177.625,428.4783575268817,57.118725806451614,1.284325940860215,99.29636586021505,71,34,52,7,108.241865234375,7,0.1346153846153846
CELL000030,SITE00007,4G LTE,181.89112903225808,409.56122311827954,57.19143951612903,1.2774064516129031,99.42096706989247,71,26,56,13,118.045984375,11,0.23214285714285715
CELL000055,SITE00012,5G NR,181.16397849462365,416.3346491935484,57.33162903225806,1.3226736559139785,99.42892258064516,71,26,59,13,101.78223828125,7,0.22033898305084745
CELL000212,SITE00050,5G NR,181.01747311827958,432.801938172043,57.028551075268815,1.1606091397849463,99.281513172043,71,14,61,8,106.6121083984375,8,0.13114754098360656
CELL000217,SITE00051,4G LTE,179.96774193548387,417.7484919354839,57.75826075268817,1.2951200268817205,99.14148561827957,70,36,54,12,104.66905078125,12,0.2222222222222222
CELL000041,SITE00009,5G NR,179.60887096774192,424.5496021505376,58.30019489247312,1.2682918010752688,99.40861599462364,70,31,51,15,103.7826240234375,6,0.29411764705882354
CELL000096,SITE00022,5G NR,180.03897849462365,417.90393145161295,56.80312634408602,1.2531770161290323,99.28299677419355,70,30,45,6,91.12865234375,3,0.13333333333333333
CELL000043,SITE00009,5G NR,177.9771505376344,428.6991532258064,57.9295685483871,1.2371495967741934,99.53606801075269,70,26,56,8,113.0068818359375,10,0.14285714285714285
CELL000162,SITE00038,4G LTE,180.8991935483871,415.50042069892476,56.762013440860215,1.2706426075268817,99.14957352150537,70,23,62,16,84.361517578125,10,0.25806451612903225
CELL000121,SITE00028,4G LTE,179.2284946236559,428.0746424731183,58.134051075268815,1.2754217741935485,99.28504744623656,70,20,61,8,126.6727333984375,13,0.13114754098360656
CELL000173,SITE00041,5G NR,181.10752688172042,410.5656155913979,56.639288978494626,1.3369336021505376,99.00181048387095,68,33,42,6,113.9503056640625,4,0.14285714285714285
CELL000205,SITE00048,5G NR,177.15591397849462,417.6107755376344,56.599525537634406,1.2824706989247312,99.2827876344086,67,33,58,12,91.625328125,15,0.20689655172413793
CELL000219,SITE00052,5G NR,177.59677419354838,423.11693010752685,57.808545698924725,1.2953192204301074,99.40600470430108,67,33,47,9,103.717208984375,7,0.19148936170212766
CELL000060,SITE00013,4G LTE,180.01344086021504,422.442876344086,56.673278225806456,1.2410877688172042,99.29192970430107,67,27,70,12,96.685986328125,13,0.17142857142857143
CELL000107,SITE00025,5G NR,177.86827956989248,424.1134018817204,56.54783602150537,1.3114279569892473,99.29621706989248,66,31,58,16,126.236037109375,9,0.27586206896551724
CELL000129,SITE00030,4G LTE,179.48790322580646,420.55047849462363,57.53618279569892,1.2706842741935485,99.28690900537636,66,30,53,14,116.9010810546875,10,0.2641509433962264
CELL000097,SITE00022,4G LTE,177.51075268817203,422.9053373655914,57.17777688172043,1.2734419354838709,99.54967029569893,64,32,47,9,104.7423564453125,9,0.19148936170212766
CELL000024,SITE00005,5G NR,181.43145161290323,422.3631801075269,56.716307795698924,1.2742538978494624,99.42346344086022,64,30,53,6,91.9665263671875,13,0.11320754716981132
CELL000084,SITE00019,5G NR,178.0013440860215,420.75609811827957,56.560633064516125,1.2222758064516128,99.27730873655914,64,30,53,8,100.709701171875,11,0.1509433962264151
CELL000035,SITE00007,5G NR,182.48387096774192,412.96727956989247,56.08465725806452,1.2756168010752689,99.29730080645162,62,31,62,15,122.03069335937501,5,0.24193548387096775
CELL000176,SITE00042,4G LTE,183.13172043010752,422.6952983870968,56.46284811827957,1.2639908602150538,99.00665779569893,61,33,47,8,109.67865625,8,0.1702127659574468
CELL000148,SITE00035,4G LTE,183.31048387096774,427.7890376344086,56.82551344086021,1.2199694892473119,99.28807594086022,58,28,50,9,113.0770517578125,7,0.18
CELL000170,SITE00040,4G LTE,179.11962365591398,412.1549099462366,56.9990309139785,1.2310497311827957,99.1400189516129,58,23,49,13,103.769630859375,15,0.2653061224489796
