cell_id,site_id,technology,band,sector,max_capacity_mbps,active_flag,_ingested_at_utc,_source_file,_source_system
CELL000211,SITE00050,4G LTE,n71,3,2362.28,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000212,SITE00050,5G NR,n41,1,1656.87,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000213,SITE00050,5G NR,B4,2,1078.45,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000214,SITE00050,4G LTE,n41,2,712.52,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000215,SITE00050,4G LTE,n41,2,1144.68,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000216,SITE00051,5G NR,n41,1,909.53,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000217,SITE00051,4G LTE,n77,1,857.13,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000218,SITE00051,4G LTE,n41,1,716.76,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000219,SITE00052,5G NR,B2,1,1592.47,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000220,SITE00052,4G LTE,n77,2,906.86,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000221,SITE00052,5G NR,n71,2,2170.46,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000222,SITE00052,4G LTE,B4,1,883.42,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000223,SITE00052,5G NR,n71,1,546.28,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000224,SITE00053,5G NR,n71,2,449.97,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000225,SITE00053,4G LTE,n41,2,1660.15,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000226,SITE00053,4G LTE,B12,2,464.39,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000227,SITE00053,4G LTE,n41,1,1303.54,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000228,SITE00053,5G NR,n41,3,301.05,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000229,SITE00054,5G NR,B12,3,959.20,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000230,SITE00054,5G NR,n41,3,1771.70,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000231,SITE00054,5G NR,B12,2,405.44,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000232,SITE00054,4G LTE,n71,2,1347.04,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000233,SITE00054,4G LTE,B12,1,418.41,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000234,SITE00055,5G NR,B2,3,781.97,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000235,SITE00055,4G LTE,n71,2,1925.97,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000236,SITE00055,5G NR,n77,2,1724.74,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000237,SITE00055,4G LTE,n41,3,567.89,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000238,SITE00056,5G NR,B4,2,1985.00,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000239,SITE00056,4G LTE,n77,3,1759.48,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000240,SITE00056,5G NR,n41,2,1100.85,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000241,SITE00056,5G NR,B4,1,2189.18,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000242,SITE00056,4G LTE,B4,1,958.92,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000243,SITE00056,5G NR,n77,3,2248.48,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000244,SITE00057,5G NR,n77,2,885.44,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000245,SITE00057,4G LTE,B12,2,1925.03,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000246,SITE00057,4G LTE,n71,3,1641.28,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000247,SITE00058,4G LTE,n71,3,2305.39,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000248,SITE00058,5G NR,n71,1,2148.88,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000249,SITE00058,5G NR,n71,1,943.21,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000250,SITE00059,4G LTE,n71,1,780.04,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000251,SITE00059,5G NR,B4,2,361.20,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000252,SITE00059,4G LTE,B4,1,758.49,N,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000253,SITE00060,5G NR,n71,2,2031.84,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000254,SITE00060,4G LTE,B4,1,1267.71,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
CELL000255,SITE00060,5G NR,B4,3,326.23,Y,2026-09-11T04:28:50.119884+00:00,data/raw/master/cells.csv,cells
