event_id,shipment_id,event_ts,event_type,event_location,event_notes,_bronze_loaded_at_utc,_source_file
SE0000001970,SHP00000435,2026-04-17 06:05:00,Arrived Hub,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001971,SHP00000435,2026-04-18 19:05:00,Departed Warehouse,Guadalajara DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001972,SHP00000435,2026-04-18 01:05:00,Packed,Guadalajara Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001973,SHP00000436,2026-04-16 14:30:00,Out for Delivery,Seattle Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001974,SHP00000436,2026-04-16 23:30:00,Exception,Atlanta Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001975,SHP00000436,2026-04-17 08:30:00,Picked,Miami Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001976,SHP00000436,2026-04-19 11:30:00,Departed Warehouse,Denver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001977,SHP00000436,2026-04-18 10:30:00,Delivered,Vancouver Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001978,SHP00000436,2026-04-17 15:30:00,Arrived Hub,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001979,SHP00000437,2026-03-16 03:28:00,Exception,Chicago DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001980,SHP00000437,2026-03-17 09:28:00,Arrived Hub,Atlanta Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001981,SHP00000437,2026-03-16 11:28:00,Departed Warehouse,Vancouver DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001982,SHP00000437,2026-03-16 15:28:00,Delivered,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001983,SHP00000437,2026-03-19 19:28:00,Out for Delivery,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001984,SHP00000438,2026-05-14 04:45:00,Arrived Hub,Seattle Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001985,SHP00000438,2026-05-14 14:45:00,Departed Warehouse,Boston Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001986,SHP00000438,2026-05-16 08:45:00,Delivered,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001987,SHP00000438,2026-05-17 07:45:00,Packed,Atlanta Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001988,SHP00000439,2026-05-15 11:02:00,Arrived Hub,Vancouver DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001989,SHP00000439,2026-05-15 22:02:00,Packed,Atlanta DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001990,SHP00000439,2026-05-16 11:02:00,Out for Delivery,Guadalajara DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001991,SHP00000440,2026-03-26 20:33:00,Departed Warehouse,Seattle Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001992,SHP00000440,2026-03-27 09:33:00,Picked,Miami Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001993,SHP00000440,2026-03-28 10:33:00,Delivered,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001994,SHP00000440,2026-03-30 05:33:00,Arrived Hub,Denver Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001995,SHP00000440,2026-03-31 12:33:00,Exception,Atlanta DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001996,SHP00000440,2026-04-02 02:33:00,Packed,Boston Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001997,SHP00000441,2026-04-15 09:02:00,Exception,Chicago DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001998,SHP00000441,2026-04-16 03:02:00,Arrived Hub,Guadalajara Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000001999,SHP00000441,2026-04-16 09:02:00,Delivered,Vancouver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002000,SHP00000442,2026-03-02 02:19:00,Arrived Hub,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002001,SHP00000442,2026-03-02 13:19:00,Packed,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002002,SHP00000442,2026-03-03 08:19:00,Exception,Chicago DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002003,SHP00000443,2026-03-27 09:42:00,Arrived Hub,Atlanta DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002004,SHP00000443,2026-03-28 05:42:00,Departed Warehouse,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002005,SHP00000443,2026-03-29 15:42:00,Delivered,Atlanta DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002006,SHP00000444,2026-03-18 14:59:00,Exception,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002007,SHP00000444,2026-03-19 10:59:00,Arrived Hub,Denver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002008,SHP00000444,2026-03-19 20:59:00,Delivered,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002009,SHP00000444,2026-03-20 05:59:00,Picked,Miami Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002010,SHP00000445,2026-05-21 00:21:00,Exception,Denver Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002011,SHP00000445,2026-05-21 12:21:00,Picked,Vancouver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002012,SHP00000445,2026-05-21 16:21:00,Out for Delivery,Vancouver DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002013,SHP00000446,2026-03-16 03:57:00,Out for Delivery,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002014,SHP00000446,2026-03-16 17:57:00,Packed,Boston Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002015,SHP00000446,2026-03-18 09:57:00,Exception,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002016,SHP00000446,2026-03-18 15:57:00,Picked,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002017,SHP00000447,2026-04-27 03:29:00,Departed Warehouse,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002018,SHP00000447,2026-04-28 03:29:00,Packed,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002019,SHP00000447,2026-04-28 13:29:00,Picked,Seattle Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002020,SHP00000447,2026-04-28 03:29:00,Out for Delivery,Miami DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002021,SHP00000447,2026-05-01 11:29:00,Arrived Hub,Miami Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002022,SHP00000448,2026-04-28 10:43:00,Out for Delivery,Guadalajara DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002023,SHP00000448,2026-04-28 18:43:00,Delivered,Vancouver DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002024,SHP00000448,2026-04-29 20:43:00,Picked,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002025,SHP00000448,2026-05-01 04:43:00,Exception,Phoenix DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002026,SHP00000448,2026-05-02 22:43:00,Arrived Hub,Atlanta DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002027,SHP00000449,2026-05-13 13:47:00,Packed,Atlanta Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002028,SHP00000449,2026-05-14 14:47:00,Arrived Hub,Miami DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002029,SHP00000449,2026-05-13 23:47:00,Picked,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002030,SHP00000449,2026-05-14 22:47:00,Exception,Phoenix DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002031,SHP00000449,2026-05-15 05:47:00,Delivered,Vancouver DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002032,SHP00000450,2026-04-02 18:48:00,Out for Delivery,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002033,SHP00000450,2026-04-03 12:48:00,Packed,Chicago DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002034,SHP00000450,2026-04-04 04:48:00,Picked,Atlanta Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002035,SHP00000450,2026-04-03 18:48:00,Arrived Hub,Denver Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002036,SHP00000451,2026-05-02 04:24:00,Departed Warehouse,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002037,SHP00000451,2026-05-02 17:24:00,Arrived Hub,Denver Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002038,SHP00000451,2026-05-03 04:24:00,Packed,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002039,SHP00000451,2026-05-03 10:24:00,Picked,Monterrey Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002040,SHP00000451,2026-05-06 08:24:00,Out for Delivery,Atlanta DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002041,SHP00000451,2026-05-04 06:24:00,Exception,Denver Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002042,SHP00000452,2026-06-07 04:09:00,Delivered,Phoenix DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002043,SHP00000452,2026-06-07 15:09:00,Departed Warehouse,Seattle Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002044,SHP00000452,2026-06-08 04:09:00,Exception,Guadalajara Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002045,SHP00000452,2026-06-08 19:09:00,Packed,Phoenix DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002046,SHP00000453,2026-02-19 11:27:00,Departed Warehouse,Guadalajara Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002047,SHP00000453,2026-02-20 04:27:00,Packed,Boston Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002048,SHP00000453,2026-02-20 07:27:00,Out for Delivery,Miami DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002049,SHP00000453,2026-02-20 17:27:00,Exception,Boston Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002050,SHP00000453,2026-02-21 07:27:00,Delivered,Vancouver DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002051,SHP00000453,2026-02-25 12:27:00,Arrived Hub,Guadalajara Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002052,SHP00000454,2026-04-18 21:33:00,Delivered,Denver Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002053,SHP00000454,2026-04-19 20:33:00,Exception,Miami DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002054,SHP00000454,2026-04-20 11:33:00,Picked,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002055,SHP00000454,2026-04-20 03:33:00,Departed Warehouse,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002056,SHP00000454,2026-04-22 13:33:00,Packed,Boston Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002057,SHP00000454,2026-04-24 22:33:00,Out for Delivery,Boston Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002058,SHP00000455,2026-05-30 13:30:00,Departed Warehouse,Boston Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002059,SHP00000455,2026-05-31 01:30:00,Delivered,Atlanta DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002060,SHP00000455,2026-06-01 19:30:00,Out for Delivery,Miami DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002061,SHP00000455,2026-06-01 13:30:00,Picked,Vancouver Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002062,SHP00000456,2026-02-01 10:36:00,Departed Warehouse,Atlanta Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002063,SHP00000456,2026-02-02 03:36:00,Exception,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002064,SHP00000456,2026-02-02 22:36:00,Picked,Denver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002065,SHP00000456,2026-02-03 01:36:00,Out for Delivery,Guadalajara Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002066,SHP00000456,2026-02-03 18:36:00,Packed,Guadalajara DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002067,SHP00000456,2026-02-06 15:36:00,Delivered,Guadalajara Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002068,SHP00000457,2026-01-21 20:29:00,Exception,Denver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002069,SHP00000457,2026-01-22 07:29:00,Delivered,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002070,SHP00000457,2026-01-23 12:29:00,Departed Warehouse,Boston Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002071,SHP00000458,2026-05-12 11:38:00,Out for Delivery,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002072,SHP00000458,2026-05-13 07:38:00,Delivered,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002073,SHP00000458,2026-05-14 15:38:00,Exception,Vancouver Hub,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002074,SHP00000458,2026-05-15 23:38:00,Departed Warehouse,Miami Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002075,SHP00000458,2026-05-15 07:38:00,Picked,Vancouver Crossdock,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002076,SHP00000459,2026-02-23 23:09:00,Picked,Guadalajara DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002077,SHP00000459,2026-02-24 13:09:00,Departed Warehouse,Seattle Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002078,SHP00000459,2026-02-24 17:09:00,Out for Delivery,Miami DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002079,SHP00000459,2026-02-24 17:09:00,Exception,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002080,SHP00000459,2026-02-25 03:09:00,Packed,Boston Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002081,SHP00000460,2026-04-18 13:52:00,Picked,Guadalajara Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002082,SHP00000460,2026-04-19 11:52:00,Arrived Hub,Chicago DC,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002083,SHP00000460,2026-04-20 11:52:00,Packed,Seattle Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002084,SHP00000461,2026-03-19 21:28:00,Departed Warehouse,Monterrey Fulfillment,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002085,SHP00000461,2026-03-20 14:28:00,Picked,Vancouver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002086,SHP00000461,2026-03-22 03:28:00,Arrived Hub,Seattle Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002087,SHP00000461,2026-03-23 15:28:00,Out for Delivery,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002088,SHP00000461,2026-03-23 13:28:00,Packed,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002089,SHP00000461,2026-03-24 01:28:00,Delivered,Monterrey Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002090,SHP00000462,2026-02-18 09:38:00,Arrived Hub,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002091,SHP00000462,2026-02-19 00:38:00,Delivered,Chicago DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002092,SHP00000462,2026-02-19 21:38:00,Exception,Seattle Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002093,SHP00000462,2026-02-21 00:38:00,Packed,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002094,SHP00000463,2026-03-07 20:46:00,Packed,Guadalajara DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002095,SHP00000463,2026-03-08 02:46:00,Arrived Hub,Monterrey Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002096,SHP00000463,2026-03-09 14:46:00,Picked,Miami Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002097,SHP00000463,2026-03-08 11:46:00,Departed Warehouse,Chicago DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002098,SHP00000463,2026-03-10 08:46:00,Exception,Chicago DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002099,SHP00000464,2026-04-20 23:16:00,Arrived Hub,Monterrey Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002100,SHP00000464,2026-04-21 10:16:00,Departed Warehouse,Boston Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002101,SHP00000464,2026-04-22 09:16:00,Picked,Chicago DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002102,SHP_UNKNOWN,2026-02-05 09:10:00,Exception,Vancouver Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002103,SHP00000465,2026-02-05 19:10:00,Departed Warehouse,Chicago DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002104,SHP00000465,2026-02-05 17:10:00,Picked,Guadalajara DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002105,SHP00000466,2026-02-02 10:18:00,Exception,Guadalajara Hub,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002106,SHP00000466,2026-02-02 15:18:00,Packed,Seattle Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002107,SHP00000466,2026-02-04 00:18:00,Arrived Hub,Seattle Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002108,SHP00000466,2026-02-03 19:18:00,Departed Warehouse,Denver Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002109,SHP00000466,2026-02-04 22:18:00,Out for Delivery,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002110,SHP00000466,2026-02-06 04:18:00,Delivered,Vancouver DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002111,SHP00000467,2026-04-19 00:11:00,Departed Warehouse,Atlanta Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002112,SHP00000467,2026-04-19 09:11:00,Picked,Boston Crossdock,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002113,SHP00000467,2026-04-21 06:11:00,Packed,Guadalajara Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002114,SHP00000467,2026-04-20 15:11:00,Exception,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002115,SHP00000467,2026-04-20 00:11:00,Arrived Hub,Chicago DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002116,SHP00000468,2026-03-15 08:27:00,Delivered,Atlanta Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002117,SHP00000468,2026-03-16 08:27:00,Departed Warehouse,Seattle Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002118,SHP00000468,2026-03-17 12:27:00,Out for Delivery,Miami DC,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002119,SHP00000468,2026-03-16 14:27:00,Exception,Miami Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002120,SHP00000468,2026-03-20 04:27:00,Packed,Denver Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002121,SHP00000469,2026-04-21 15:24:00,Out for Delivery,Guadalajara Hub,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002122,SHP00000469,2026-04-22 13:24:00,Packed,Miami DC,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002123,SHP00000469,2026-04-22 15:24:00,Picked,Vancouver DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002124,SHP00000470,2026-04-06 21:39:00,Packed,Miami Fulfillment,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002125,SHP00000470,2026-04-07 06:39:00,Picked,Vancouver Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002126,SHP00000470,2026-04-07 19:39:00,Arrived Hub,Guadalajara Fulfillment,,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002127,SHP00000470,2026-04-10 00:39:00,Out for Delivery,Denver Hub,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002128,SHP00000471,2026-01-23 06:31:00,Departed Warehouse,Denver Crossdock,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002129,SHP00000471,2026-01-24 12:31:00,Packed,Guadalajara DC,Scanned,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002130,SHP00000471,2026-01-24 18:31:00,Picked,Monterrey Fulfillment,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002131,SHP00000472,2026-01-20 21:35:00,Out for Delivery,Boston Hub,Delay due to weather,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002132,SHP00000472,2026-01-22 01:35:00,Delivered,Atlanta Crossdock,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002133,SHP00000472,2026-01-22 03:35:00,Picked,Denver Crossdock,Capacity issue,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
SE0000002134,SHP00000473,2026-02-25 15:30:00,Out for Delivery,Phoenix DC,OK,2026-06-20T05:01:24.164239+00:00,data/raw/transactions/shipment_events.csv
