work_order_id,asset_id,site_id,created_date,scheduled_date,completed_date,maintenance_type,priority,status,labor_hours,parts_cost,_bronze_loaded_at_utc,_source_file
WO00000147,AST000044,SITE0006,2026-01-16,2026-01-22,2026-01-18,Emergency,Critical,In Progress,71.10,35831.86,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000148,AST000133,SITE0016,2026-05-16,2026-05-24,2026-06-25,Emergency,Low,Completed,1.61,35281.63,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000149,AST000162,SITE0019,2026-01-01,2026-01-03,2026-01-03,Emergency,Low,In Progress,28.46,14054.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000150,AST000034,SITE0005,2026-03-04,2026-03-11,2026-03-06,Corrective,medium ,Cancelled,45.32,40829.59,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000151,AST000096,SITE0012,2026-01-04,2026-01-11,2026-01-06,preventive ,Medium,Open,50.41,34686.80,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000152,AST000100,SITE0012,2026-02-04,2026-02-07,,Preventive,Medium,Completed,11.85,25420.64,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000153,AST000131,SITE0016,2026-02-28,2026-03-01,2026-03-01,Corrective,Critical,Open,3.28,31383.60,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000154,AST000124,SITE0015,2026-02-09,2026-02-12,2026-03-01,Inspection,Critical,In Progress,10.51,6955.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000155,AST000203,SITE0024,2026-03-31,2026-04-10,2026-04-20,Inspection,Low,Completed,76.40,28237.03,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000156,AST000030,SITE0004,2026-02-22,2026-02-22,2026-02-23,Preventive,medium ,open ,61.77,26181.52,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000157,AST000187,SITE0022,2026-02-17,2026-02-18,,Preventive,Medium,Cancelled,1.94,44268.99,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000158,AST000014,SITE0002,2026-01-20,2026-01-22,,Emergency,Low,open ,24.83,33338.73,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000159,AST000042,SITE0006,2026-03-28,2026-03-28,,Corrective,medium ,Completed,45.48,38424.86,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000160,AST000214,SITE0026,2026-01-14,2026-01-17,2026-01-16,preventive ,Low,Cancelled,45.74,20293.19,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000161,AST000179,SITE0021,2026-04-24,2026-04-24,2026-04-25,Inspection,Medium,Completed,6.88,9700.30,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000162,AST000199,SITE0024,2026-02-08,2026-02-17,2026-02-28,Emergency,Low,open ,69.60,27206.88,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000163,AST000011,SITE0002,2026-04-13,2026-04-13,2026-04-18,Corrective,Medium,Completed,77.16,40137.76,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000164,AST000105,SITE0013,2026-05-23,2026-05-23,2026-05-25,Emergency,Medium,In Progress,67.71,41930.69,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000165,AST000121,SITE0015,2026-03-29,2026-04-06,,Emergency,Medium,Completed,35.15,32921.06,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000166,AST000244,SITE0029,2026-02-25,2026-03-01,2026-04-06,Preventive,Critical,open ,67.71,34020.23,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000167,AST000082,SITE0010,2026-05-04,2026-05-07,2026-05-14,Corrective,Low,open ,78.02,30985.42,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000168,AST000025,SITE0004,2026-04-01,2026-04-01,2026-04-06,Emergency,medium ,Cancelled,57.50,27289.24,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000169,AST000074,SITE0009,2026-01-12,2026-01-14,2026-01-22,Corrective,High,Completed,23.68,20047.25,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000170,AST000200,SITE0024,2026-02-22,2026-02-23,2026-03-04,Preventive,Medium,Completed,5.78,37966.16,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000171,AST000152,SITE0018,2026-05-07,2026-05-10,2026-05-08,Inspection,Critical,Completed,bad,2820.94,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000172,AST000194,SITE0023,2026-03-22,2026-04-01,2026-05-01,Corrective,Medium,Completed,16.94,34679.28,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000173,AST000059,SITE0008,2026-04-30,2026-05-08,2026-05-10,Emergency,Critical,Completed,28.00,21676.15,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000174,AST000037,SITE0005,2026-03-09,2026-03-11,2026-03-29,Preventive,Low,Completed,57.71,40294.87,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000175,AST000176,SITE0021,2026-01-22,2026-01-28,2026-01-24,preventive ,Low,open ,34.38,28121.71,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000176,AST000125,SITE0015,2026-03-02,2026-03-04,2026-03-12,Preventive,Low,Cancelled,27.19,22773.10,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000177,AST000205,SITE0024,2026-03-14,2026-03-24,2026-04-23,Emergency,High,Cancelled,42.31,26686.72,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000178,AST000023,SITE0003,2026-03-18,2026-03-27,2026-03-28,Inspection,Low,open ,48.85,18326.93,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000179,AST000104,SITE0013,2026-03-26,2026-04-01,2026-04-15,preventive ,Critical,open ,67.83,6661.93,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000180,AST000187,SITE0022,2026-03-26,2026-04-03,2026-04-15,Emergency,Low,Cancelled,27.95,43601.60,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000181,AST000190,SITE0022,2026-01-18,2026-01-26,2026-01-28,preventive ,Critical,open ,34.74,14000.35,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000182,AST000063,SITE0008,2026-05-02,2026-05-09,2026-05-04,Preventive,Medium,In Progress,40.71,16267.25,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000183,AST000101,SITE0013,2026-05-22,2026-06-01,,Preventive,medium ,Completed,72.73,18250.10,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000184,AST000085,SITE0011,2026-02-17,2026-02-20,2026-02-19,preventive ,Low,open ,72.13,36071.29,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000185,AST000045,SITE0006,2026-03-27,2026-03-31,2026-04-16,Emergency,Critical,Cancelled,6.54,31965.09,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000186,AST000132,SITE0016,2026-03-23,2026-04-02,2026-05-02,Corrective,Low,Open,48.98,42419.27,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000187,AST000046,SITE0006,2026-05-19,2026-05-23,2026-06-28,Preventive,medium ,open ,68.29,25438.97,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000188,AST000191,SITE0023,2026-01-11,2026-01-11,,Corrective,Low,Cancelled,71.92,18658.93,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000189,AST000042,SITE0006,2026-03-17,2026-03-23,2026-04-06,Preventive,Critical,Completed,63.90,31047.83,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000190,AST000032,SITE0005,2026-03-01,2026-03-03,2026-03-21,Preventive,High,Cancelled,36.07,26019.04,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000191,AST000128,SITE0016,2026-03-20,2026-03-23,,Emergency,Low,Completed,70.88,11597.24,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000192,AST000160,SITE0019,2026-01-15,2026-01-23,2026-01-17,Preventive,medium ,Completed,35.16,33672.77,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000193,AST000249,SITE0030,2026-04-15,2026-04-17,2026-04-16,Inspection,Critical,Open,12.64,6977.81,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000194,AST000186,SITE0022,2026-01-05,2026-01-13,2026-01-25,Corrective,Medium,Completed,9.45,44536.38,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000195,AST000186,SITE0022,2026-01-31,2026-01-31,2026-03-12,Preventive,Low,In Progress,14.55,1384.44,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000196,AST000161,SITE0019,2026-05-12,2026-05-16,2026-06-01,Corrective,medium ,In Progress,12.65,14570.42,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000197,AST000141,SITE0017,2026-02-13,2026-02-18,2026-02-15,Preventive,medium ,Completed,48.53,9263.41,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000198,AST000109,SITE0013,2026-03-30,2026-03-30,2026-04-19,Corrective,High,Cancelled,23.86,6430.89,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000199,AST000211,SITE0025,2026-02-14,2026-02-16,2026-03-06,preventive ,medium ,Open,1.78,18034.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000200,AST000189,SITE0022,2026-04-22,2026-04-23,2026-06-01,Preventive,medium ,Cancelled,79.26,2397.10,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000201,AST000188,SITE0022,2026-01-12,2026-01-22,2026-01-13,preventive ,medium ,Completed,12.27,23997.34,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000202,AST000035,SITE0005,2026-02-23,2026-03-02,2026-02-25,Emergency,Critical,In Progress,65.41,8837.18,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000203,AST000052,SITE0007,2026-03-07,2026-03-17,2026-04-16,Corrective,Low,In Progress,63.07,41507.54,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000204,AST000129,SITE0016,2026-05-20,2026-05-21,2026-05-25,Inspection,medium ,Completed,12.07,27969.59,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000205,AST000116,SITE0014,2026-01-05,2026-01-12,2026-01-07,Preventive,Low,Cancelled,32.43,11714.51,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000206,AST000036,SITE0005,2026-02-28,2026-03-07,2026-03-02,preventive ,High,Completed,50.56,35204.88,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000207,AST000076,SITE0010,2026-04-22,2026-04-26,2026-06-01,Corrective,Critical,open ,16.62,30486.20,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000208,AST000133,SITE0016,2026-01-28,2026-02-03,2026-02-02,Inspection,High,Cancelled,53.42,25762.50,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000209,AST000071,SITE0009,2026-05-10,2026-05-14,2026-06-19,Corrective,medium ,Completed,25.13,27478.41,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000210,AST000193,SITE0023,2026-02-15,2026-02-19,2026-02-16,preventive ,Low,Cancelled,33.68,28419.83,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000211,AST000108,SITE0013,2026-03-12,2026-03-15,,Corrective,Medium,Open,17.53,9286.52,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000212,AST000187,SITE0022,2026-01-21,2026-01-27,2026-01-26,preventive ,High,In Progress,57.81,9120.99,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000213,AST000242,SITE0029,2026-04-24,2026-04-30,2026-05-14,Emergency,medium ,Open,10.40,5389.44,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000214,AST000124,SITE0015,2026-01-29,2026-02-04,2026-03-10,Preventive,Medium,open ,23.00,7411.60,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000215,AST000106,SITE0013,2026-03-04,2026-03-13,2026-03-05,Inspection,Medium,In Progress,17.01,3284.93,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000216,AST000081,SITE0010,2026-04-17,2026-04-23,2026-05-27,Emergency,Medium,In Progress,68.04,39498.15,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000217,AST000002,SITE0001,2026-04-07,2026-04-16,2026-04-12,Preventive,Medium,open ,59.96,26770.84,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000218,AST000172,SITE0020,2026-02-11,2026-02-19,2026-03-23,Corrective,Medium,open ,5.75,5451.14,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000219,AST000145,SITE0018,2026-05-27,2026-06-03,2026-06-16,Emergency,Critical,open ,4.18,13305.31,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000220,AST000082,SITE0010,2026-04-18,2026-04-27,2026-04-28,Corrective,Low,Completed,24.54,40449.87,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000221,AST000096,SITE0012,2026-01-27,2026-02-01,2026-02-01,preventive ,Low,Cancelled,39.77,26495.83,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000222,AST000113,SITE0014,2026-01-11,2026-01-13,2026-01-31,preventive ,medium ,Completed,33.34,7083.28,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000223,AST000106,SITE0013,2026-03-24,2026-03-28,2026-03-25,Preventive,High,Completed,72.60,8626.88,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000224,AST000079,SITE0010,2026-05-07,2026-05-16,2026-05-12,Inspection,High,Open,49.30,5646.60,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000225,AST000252,SITE0030,2026-02-18,2026-02-23,2026-02-28,preventive ,High,Completed,43.97,27879.83,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000226,AST000077,SITE0010,2026-04-26,2026-05-03,,preventive ,medium ,open ,11.56,10582.47,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000227,AST000127,SITE0016,2026-01-04,2026-01-07,2026-02-13,preventive ,Low,In Progress,12.36,27918.30,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000228,AST000102,SITE0013,2026-02-20,2026-03-01,2026-02-22,Corrective,Critical,open ,1.35,3836.71,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000229,AST000071,SITE0009,2026-03-22,2026-03-31,,Preventive,Medium,Cancelled,22.51,39220.25,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000230,AST000075,SITE0010,2026-02-09,2026-02-10,,preventive ,Low,Open,32.91,4642.03,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000231,AST000195,SITE0023,2026-01-28,2026-02-07,2026-03-09,Preventive,High,Open,63.69,2224.55,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000232,AST000119,SITE0015,2026-03-01,2026-03-05,2026-03-11,preventive ,High,Cancelled,77.59,41087.45,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000233,AST000187,SITE0022,2026-02-11,2026-02-17,,Inspection,High,open ,3.64,16797.07,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000234,AST000051,SITE0007,2026-04-16,2026-04-16,2026-04-21,Inspection,High,Cancelled,27.69,44131.99,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000235,AST000255,SITE0030,2026-05-05,2026-05-09,2026-05-15,Emergency,Critical,In Progress,24.44,36258.49,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000236,AST000123,SITE0015,2026-02-23,2026-03-04,2026-02-25,Inspection,High,Open,4.68,478.14,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000237,AST000102,SITE0013,2026-01-19,2026-01-22,2026-02-08,Emergency,Critical,Cancelled,20.18,8708.69,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000238,AST000133,SITE0016,2026-01-23,2026-01-31,2026-01-28,preventive ,Medium,Cancelled,29.36,27625.96,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000239,AST000055,SITE0007,2026-02-17,2026-02-23,2026-02-19,Corrective,Medium,Completed,59.03,12991.96,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000240,AST000083,SITE0010,2026-04-04,2026-04-10,2026-04-14,Emergency,medium ,In Progress,49.05,15669.05,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000241,AST000179,SITE0021,2026-04-20,2026-04-22,2026-04-21,Preventive,Low,Cancelled,9.53,23109.29,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000242,AST000097,SITE0012,2026-03-21,2026-03-29,2026-03-23,Inspection,medium ,In Progress,39.57,2444.84,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000243,AST000146,SITE0018,2026-05-13,2026-05-19,2026-05-14,Inspection,Critical,Completed,44.15,27682.19,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000244,AST000072,SITE0009,2026-03-14,2026-03-15,2026-03-24,Inspection,medium ,open ,9.54,27345.11,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000245,AST000130,SITE0016,2026-03-16,2026-03-19,,preventive ,medium ,Completed,5.28,22939.51,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000246,AST000038,SITE0005,2026-04-12,2026-04-14,2026-04-22,Inspection,medium ,Cancelled,77.42,14805.88,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000247,AST000069,SITE0009,2026-01-25,2026-01-30,2026-02-04,Preventive,medium ,Open,71.83,4916.92,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000248,AST000197,SITE0023,2026-03-22,2026-03-30,2026-05-01,preventive ,medium ,Completed,74.06,43344.36,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000249,AST000178,SITE0021,2026-02-12,2026-02-20,2026-02-22,Corrective,Medium,In Progress,26.58,26496.70,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000250,AST000049,SITE0006,2026-03-03,2026-03-03,2026-03-05,Emergency,medium ,In Progress,63.99,34265.09,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000251,AST000087,SITE0011,2026-01-03,2026-01-12,2026-02-12,Preventive,medium ,open ,51.53,2839.62,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000252,AST000038,SITE0005,2026-03-21,2026-03-29,2026-04-10,preventive ,Low,In Progress,6.15,8849.97,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000253,AST000056,SITE0007,2026-04-05,2026-04-14,2026-04-07,preventive ,Medium,open ,52.75,9896.25,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000254,AST000179,SITE0021,2026-04-25,2026-04-25,2026-06-04,Corrective,Low,Completed,48.87,4845.56,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000255,AST000123,SITE0015,2026-02-27,2026-03-07,2026-03-09,Corrective,medium ,Completed,44.45,10225.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000256,AST000205,SITE0024,2026-01-31,2026-02-02,2026-02-05,Corrective,medium ,open ,26.78,25486.19,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000257,AST000119,SITE0015,2026-01-21,2026-01-29,2026-01-31,Emergency,Critical,In Progress,12.93,32910.71,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000258,AST000220,SITE0026,2026-02-04,2026-02-07,2026-02-06,Inspection,High,In Progress,56.82,24186.29,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000259,AST000228,SITE0027,2026-04-12,2026-04-22,2026-04-13,Emergency,High,Completed,28.27,26001.00,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000260,AST000185,SITE0022,2026-02-10,2026-02-11,2026-03-02,Inspection,Critical,open ,47.67,36157.71,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000261,AST000055,SITE0007,2026-05-03,2026-05-12,2026-06-12,Preventive,Low,Completed,17.08,18835.35,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000262,AST000195,SITE0023,2026-02-21,2026-03-01,2026-02-22,Preventive,medium ,Open,18.51,19061.63,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000263,AST000067,SITE0008,2026-03-09,2026-03-18,2026-04-18,Emergency,medium ,Cancelled,79.07,29192.51,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000264,AST000236,SITE0028,2026-03-30,2026-04-07,2026-04-04,Inspection,High,Completed,50.15,19485.83,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000265,AST000199,SITE0024,2026-04-02,2026-04-03,2026-04-04,Corrective,Critical,Cancelled,52.28,37593.33,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000266,AST000138,SITE0017,2026-02-22,2026-03-03,2026-04-03,preventive ,Critical,Open,37.02,21706.45,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000267,AST000113,SITE0014,2026-03-17,2026-03-18,2026-03-27,Preventive,Low,In Progress,74.79,7387.33,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000268,AST000178,SITE0021,2026-05-21,2026-05-28,2026-05-26,Corrective,medium ,open ,35.27,38095.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000269,AST000231,SITE0027,2026-02-16,2026-02-17,2026-02-26,preventive ,medium ,Completed,59.26,1178.40,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000270,AST000040,SITE0005,2026-05-01,2026-05-01,2026-05-21,preventive ,Low,In Progress,23.32,9987.16,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000271,AST000214,SITE0026,2026-05-06,2026-05-13,2026-05-16,preventive ,Medium,In Progress,46.63,1498.18,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000272,AST000168,SITE0020,2026-02-10,2026-02-19,2026-02-12,preventive ,High,In Progress,77.15,42883.27,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000273,AST000164,SITE0020,2026-05-31,2026-05-31,2026-07-10,Inspection,Low,In Progress,12.44,2897.40,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000274,AST000133,SITE0016,2026-01-05,2026-01-10,2026-01-25,Emergency,Medium,Cancelled,34.65,24245.30,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000275,AST000064,SITE0008,2026-03-05,2026-03-05,2026-03-06,preventive ,Low,Open,2.30,22285.96,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000276,AST000044,SITE0006,2026-02-10,2026-02-19,2026-02-15,Preventive,Critical,open ,54.74,24530.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000277,AST000025,SITE0004,2026-04-15,2026-04-17,2026-05-25,Preventive,High,Completed,60.57,8593.48,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000278,AST000256,SITE0030,2026-03-18,2026-03-19,2026-03-20,Emergency,Low,Completed,21.32,15463.73,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000279,AST000154,SITE0018,2026-01-24,2026-02-03,,preventive ,medium ,Cancelled,41.50,4569.25,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000280,AST000256,SITE0030,2026-01-31,2026-02-01,,Corrective,High,open ,3.41,18734.21,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000281,AST000040,SITE0005,2026-01-13,2026-01-23,2026-02-22,preventive ,medium ,Open,8.47,36157.17,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000282,AST000150,SITE0018,2026-04-03,2026-04-06,2026-04-23,Emergency,High,Completed,71.26,38537.73,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000283,AST000232,SITE0027,2026-03-20,2026-03-22,2026-03-21,Corrective,High,Completed,64.40,44643.98,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000284,AST000118,SITE0014,2026-03-02,2026-03-11,2026-03-03,preventive ,Critical,Open,14.11,42758.36,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000285,AST000196,SITE0023,2026-03-19,2026-03-29,2026-04-08,preventive ,Critical,Open,47.64,4191.24,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000286,AST000128,SITE0016,2026-01-03,2026-01-05,2026-01-23,Corrective,Medium,Completed,79.26,43000.65,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000287,AST000057,SITE0007,2026-04-17,2026-04-19,2026-04-22,Preventive,Critical,Open,21.73,37531.13,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000288,AST000216,SITE0026,2026-01-26,2026-01-28,2026-01-27,Corrective,High,open ,28.39,7680.40,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000289,AST000177,SITE0021,2026-01-01,2026-01-02,2026-01-11,Inspection,Critical,In Progress,5.06,11925.69,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000290,AST000236,SITE0028,2026-03-21,2026-03-22,2026-03-22,Emergency,Medium,open ,68.33,30246.89,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000291,AST000008,SITE0001,2026-03-14,2026-03-23,2026-03-15,Emergency,High,Open,9.72,6184.34,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
WO00000292,AST000154,SITE0018,2026-04-23,2026-04-30,2026-04-25,Inspection,Low,Completed,28.40,7298.54,2026-07-13T04:58:51.805012+00:00,data/raw/operations/work_orders.csv
